id,data_source_id,table_name,rule_type,column_names,column_match_expr,comment,tags,parameters,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by
87,4,TC_ACTIVITY,length,AUTHSERVICENUMBER,,,ICD-1.2,"{\"max\": 50}",2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
88,4,TC_ACTIVITY,complete,AUTHSERVICENUMBER,,,ICD-1.2,,2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
89,4,TC_ACTIVITY,unique,AUTHSERVICENUMBER,,,ICD-1.2,,2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
660,4,TC_ACTIVITY,length,AUTHSURNAME,,,ADW-ICD-1.8,"{\"max\": 100}",2024-06-25T13:29:24.071Z,dq,2024-06-25T13:29:24.071Z,dq,,
84,4,TC_ACTIVITY,length,AUTHSURNAME,,,ICD-1.2,"{\"max\": 50}",2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
85,4,TC_ACTIVITY,complete,AUTHSURNAME,,,ICD-1.2,,2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
86,4,TC_ACTIVITY,unique,AUTHSURNAME,,,ICD-1.2,,2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
123,4,TC_ACTIVITY,length,DELETEFLAG,,,ICD-1.2,"{\"max\": 1}",2024-06-25T15:04:13.062Z,dq,2024-06-25T15:04:13.062Z,dq,,
124,4,TC_ACTIVITY,complete,DELETEFLAG,,,ICD-1.2,,2024-06-25T15:04:13.062Z,dq,2024-06-25T15:04:13.062Z,dq,,
125,4,TC_ACTIVITY,unique,DELETEFLAG,,,ICD-1.2,,2024-06-25T15:04:13.062Z,dq,2024-06-25T15:04:13.062Z,dq,,
661,4,TC_ACTIVITY,length,DESCRIPTION,,,ADW-ICD-1.8,"{\"max\": 2000}",2024-06-25T13:29:24.071Z,dq,2024-06-25T13:29:24.071Z,dq,,
78,4,TC_ACTIVITY,length,DESCRIPTION,,,ICD-1.2,"{\"max\": 20}",2024-06-25T15:04:13.061Z,dq,2024-06-25T15:04:13.061Z,dq,,
